,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
220,267270,KR7267270007,HD현대건설기계,KOSPI,,70300,1,100,0.14,69000,70900,68700,109195,7638569950,1286882695800,18305586,STK
221,294870,KR7294870001,HDC현대산업개발,KOSPI,,19380,1,180,0.94,19290,19560,19100,321804,6226720550,1277284055400,65907330,STK
222,007070,KR7007070006,GS리테일,KOSPI,,15140,1,490,3.34,14650,15140,14620,308305,4611920795,1265816263100,83607415,STK
223,007340,KR7007340003,DN오토모티브,KOSPI,,21450,1,100,0.47,21350,21650,21050,47964,1022747050,1255058054250,58510865,STK
224,011210,KR7011210002,현대위아,KOSPI,,45850,2,-1200,-2.55,47150,47350,45850,287303,13237226725,1246894555550,27195083,STK
225,018290,KR7018290007,브이티,KOSDAQ,우량기업부,34350,2,-50,-0.15,34700,35400,33500,779387,26713581650,1229661540450,35798007,KSQ
226,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,55200,1,300,0.55,55400,56800,55000,203576,11285360800,1210489300800,21929154,KSQ
227,300720,KR7300720000,한일시멘트,KOSPI,,16940,1,140,0.83,16750,17010,16650,88058,1485412180,1173290487600,69261540,STK
228,137310,KR7137310009,에스디바이오센서,KOSPI,,9600,2,-450,-4.48,10050,10170,9600,579166,5599430645,1168791379200,121749102,STK
229,280360,KR7280360009,롯데웰푸드,KOSPI,,123400,2,-400,-0.32,124000,124100,121000,17933,2195051150,1164226431600,9434574,STK
230,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,61500,1,700,1.15,61400,61900,59700,177446,10852092400,1149499513500,18691049,KSQ
231,003090,KR7003090008,대웅,KOSPI,,19670,2,-380,-1.9,19830,20400,19620,40773,806553215,1143652746600,58141980,STK
232,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,29800,2,-1000,-3.25,30300,31400,29400,287045,8608671175,1139795644800,38248176,KSQ
233,003570,KR7003570009,SNT다이내믹스,KOSPI,,34100,1,550,1.64,32650,34200,32100,192059,6393755575,1133916967700,33252697,STK
234,009450,KR7009450008,경동나비엔,KOSPI,,76100,2,-800,-1.04,76500,77900,76000,41056,3153074450,1108669851200,14568592,STK
235,185750,KR7185750007,종근당,KOSPI,,80200,2,-500,-0.62,80300,81500,80200,23678,1906700900,1106982956000,13802780,STK
236,007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,17110,1,620,3.76,16650,17230,16430,713734,12139495710,1101150939160,64357156,KSQ
237,098460,KR7098460009,고영,KOSDAQ,우량기업부,15940,2,-130,-0.81,15920,16800,15670,2524435,40360360110,1094356794700,68654755,KSQ
238,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,45800,1,1450,3.27,44750,46150,43750,277183,12548046575,1087433338800,23743086,KSQ
239,192080,KR7192080000,더블유게임즈,KOSPI,,50500,2,-500,-0.98,50800,51000,50100,25533,1288392000,1085543253000,21495906,STK
240,089860,KR7089860001,롯데렌탈,KOSPI,,29650,3,0,0.0,29400,30000,29250,57646,1710793825,1076573354200,36309388,STK
241,365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,5040,1,60,1.2,4980,5040,4955,256183,1281972097,1073968560000,213089000,STK
242,229640,KR7229640008,LS에코에너지,KOSPI,,35050,3,0,0.0,34500,35050,34150,103243,3566016450,1073402008950,30624879,STK
243,003030,KR7003030004,세아제강지주,KOSPI,,257000,1,500,0.19,254500,257000,245000,24127,6043366000,1064405849000,4141657,STK
244,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,90700,2,-1300,-1.41,92500,94000,90700,63350,5847329850,1058922500000,11675000,KSQ
245,014820,KR7014820005,동원시스템즈,KOSPI,,36500,2,-550,-1.48,37150,37600,36200,13236,486113425,1058181793000,28991282,STK
246,004000,KR7004000006,롯데정밀화학,KOSPI,,41000,2,-150,-0.36,41000,41700,40300,40645,1671250025,1057800000000,25800000,STK
247,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,12730,2,-280,-2.15,12970,13200,12700,2775405,35991076530,1044437305500,82045350,KSQ
248,005300,KR7005300009,롯데칠성,KOSPI,,111900,1,700,0.63,111200,113100,110300,61933,6932769850,1038307119600,9278884,STK
249,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,45000,1,1350,3.09,44000,45200,43800,182873,8179847955,1031221890000,22916042,KSQ
250,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,15660,2,-310,-1.94,16120,16170,15320,388664,6094055295,1029340381680,65730548,KSQ
251,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,중견기업부,36300,2,-450,-1.22,36950,37050,36200,102705,3741972450,1028375043300,28329891,KSQ
252,330590,KR7330590001,롯데리츠,KOSPI,,3530,2,-20,-0.56,3570,3570,3415,444513,1540721088,1020060160520,288968884,STK
253,112040,KR7112040001,위메이드,KOSDAQ,중견기업부,30000,2,-700,-2.28,31000,31000,29950,499776,15071739775,1018454490000,33948483,KSQ
254,009240,KR7009240003,한샘,KOSPI,,43250,2,-250,-0.57,43550,43650,43200,20994,910418275,1017842386000,23533928,STK
255,298020,KR7298020009,효성티앤씨,KOSPI,,234000,1,3000,1.3,231000,234000,228000,8630,1996827250,1012677588000,4327682,STK
256,336260,KR7336260005,두산퓨얼셀,KOSPI,,15400,2,-480,-3.02,15750,15880,15380,367809,5696046115,1008603380400,65493726,STK
257,001120,KR7001120005,LX인터내셔널,KOSPI,,25800,2,-150,-0.58,25750,26000,25500,150477,3871684025,1000008000000,38760000,STK
258,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,135800,1,2200,1.65,134900,137400,133700,42118,5723267600,991135892600,7298497,KSQ
259,034230,KR7034230003,파라다이스,KOSPI,,10790,1,240,2.27,10680,11080,10650,1056180,11456686580,990215812170,91771623,STK
260,001800,KR7001800002,오리온홀딩스,KOSPI,,15790,2,-350,-2.17,16080,16090,15670,133916,2116246560,989171213380,62645422,STK
261,071970,KR7071970008,HD현대마린엔진,KOSPI,,28750,1,1300,4.74,26700,28800,26650,651319,18308699075,975242981250,33921495,STK
262,001740,KR7001740000,SK네트웍스,KOSPI,,4395,2,-20,-0.45,4400,4445,4370,329297,1450774451,972516379290,221277902,STK
263,023590,KR7023590003,다우기술,KOSPI,,21600,2,-200,-0.92,21800,21850,21450,50556,1094816175,969118927200,44866617,STK
264,005180,KR7005180005,빙그레,KOSPI,,98200,1,3700,3.92,94000,98200,92200,96942,9357160600,967391866200,9851241,STK
265,067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,83800,2,-600,-0.71,85700,86400,83800,55899,4734110400,963261474600,11494767,KSQ
266,004490,KR7004490009,세방전지,KOSPI,,68700,2,-300,-0.43,68700,69600,68400,42989,2967541350,961800000000,14000000,STK
267,051915,KR7051911006,LG화학우,KOSPI,,124900,1,3500,2.88,121400,124900,118400,74343,9101353750,960331120000,7688800,STK
268,108320,KR7108320003,LX세미콘,KOSPI,,58600,1,400,0.69,58500,59100,58000,37438,2193410750,953087980000,16264300,STK
269,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,40000,1,700,1.78,39650,40600,37850,250221,9853732725,949536240000,23738406,KSQ
270,000815,KR7000811000,삼성화재우,KOSPI,,297000,1,3000,1.02,293500,297000,292000,15055,4439073250,948024000000,3192000,STK
271,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,16370,2,-140,-0.85,16210,16790,16190,407711,6728031600,946979388420,57848466,KSQ
272,160190,KR7160190005,하이젠알앤엠,KOSDAQ,중견기업부,30650,1,50,0.16,29750,31400,29300,335821,10201045600,946717200000,30888000,KSQ
273,009410,KR7009410002,태영건설,KOSPI,,3215,2,-25,-0.77,3560,4080,3160,12485795,46191703928,945446488970,294073558,STK
274,415640,KR7415640002,KB발해인프라,KOSPI,,7550,3,0,0.0,7550,7550,7500,6831,51437160,925218887400,122545548,STK
275,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,42900,2,-1050,-2.39,44100,44650,42900,333760,14623256500,925026745500,21562395,KSQ
276,353200,KR7353200009,대덕전자,KOSPI,,18600,1,450,2.48,18220,18940,18220,677547,12629371315,919154805000,49416925,STK
277,078130,KR7078130002,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0,0.0,0,0,0,0,0,901924696800,1127405871,KSQ
278,161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,39450,2,-450,-1.13,39100,40325,39000,772197,30646608500,901439601000,22850180,KSQ
279,323280,KR7323280008,태성,KOSDAQ,중견기업부,29550,1,2600,9.65,26900,29900,26650,884234,25606907025,899523571500,30440730,KSQ
280,067310,KR7067310003,하나마이크론,KOSDAQ,우량기업부,13480,1,1210,9.86,12330,14150,12210,11530657,156028922360,893345872520,66271949,KSQ
281,053800,KR7053800009,안랩,KOSDAQ,우량기업부,80000,1,3200,4.17,75900,81000,75900,175762,13981521500,890120480000,11126506,KSQ
282,248070,KR7248070005,솔루엠,KOSPI,,17730,2,-20,-0.11,17690,17820,17150,117276,2057338605,886598419230,50005551,STK
283,000670,KR7000670000,영풍,KOSPI,,480000,2,-11000,-2.24,491000,495000,480000,6489,3162691500,884179200000,1842040,STK
284,001680,KR7001680008,대상,KOSPI,,25500,1,650,2.62,24600,25900,24250,280564,7087178950,883524637500,34648025,STK
285,003540,KR7003540002,대신증권,KOSPI,,17250,1,90,0.52,17160,17270,16910,227184,3905222995,875841150000,50773400,STK
286,140410,KR7140410002,메지온,KOSDAQ,중견기업부,29200,1,3300,12.74,25900,29300,25800,249016,7000715225,874929440400,29963337,KSQ
287,001530,KR7001530005,DI동일,KOSPI,,45050,1,350,0.78,44700,46400,43700,704391,31728632450,872655395950,19370819,STK
288,039130,KR7039130000,하나투어,KOSPI,,54000,1,300,0.56,54100,54400,53600,43222,2333351650,866115990000,16039185,STK
289,012630,KR7012630000,HDC,KOSPI,,14490,1,410,2.91,13970,14490,13970,147793,2124126900,865657537290,59741721,STK
290,002840,KR7002840007,미원상사,KOSPI,,181000,2,-4900,-2.64,185900,185900,181000,1480,272390300,859750000000,4750000,STK
291,120110,KR7120110002,코오롱인더,KOSPI,,31200,2,-250,-0.79,31300,31400,30600,94378,2932439525,858595639200,27519091,STK
292,298050,KR7298050006,HS효성첨단소재,KOSPI,,191500,1,5000,2.68,194000,194700,187700,17148,3271113400,857910042000,4479948,STK
293,100090,KR7100090000,SK오션플랜트,KOSPI,,14240,2,-380,-2.6,14450,14620,13870,259590,3656360915,842944888320,59195568,STK
294,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,69000,2,-1900,-2.68,71500,71700,68500,52311,3648787800,841529382000,12196078,KSQ
295,003240,KR7003240009,태광산업,KOSPI,,753000,1,8000,1.07,746000,753000,738000,735,549457000,838390200000,1113400,STK
296,417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,12370,2,-430,-3.36,12820,12840,12360,391743,4908045340,836863391830,67652659,KSQ
297,082640,KR7082640004,동양생명,KOSPI,,5180,2,-30,-0.58,5210,5270,5100,156953,814613345,835837470300,161358585,STK
298,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,12690,1,470,3.85,12260,12940,12260,495354,6246152715,835765608060,65860174,KSQ
299,005440,KR7005440003,현대지에프홀딩스,KOSPI,,5330,1,40,0.76,5300,5330,5230,133875,706892715,830969924330,155904301,STK
300,003850,KR7003850005,보령,KOSPI,,9400,1,20,0.21,9390,9430,9270,101930,952018985,815799745800,86787207,STK
